GConf2	3.2.6-49.fc44	x86_64	User	<unknown>
ImageMagick-devel	1:7.1.2.27-1.fc44	x86_64	User	updates
ModemManager	1.24.2-3.fc44	x86_64	Group	<unknown>
NetworkManager	1:1.56.1-2.fc44	x86_64	Group	updates
NetworkManager-adsl	1:1.56.1-2.fc44	x86_64	Group	updates
NetworkManager-bluetooth	1:1.56.1-2.fc44	x86_64	Group	updates
NetworkManager-config-connectivity-fedora	1:1.56.1-2.fc44	noarch	Group	updates
NetworkManager-ppp	1:1.56.1-2.fc44	x86_64	Group	updates
NetworkManager-wifi	1:1.56.1-2.fc44	x86_64	Group	updates
NetworkManager-wwan	1:1.56.1-2.fc44	x86_64	Group	updates
PackageKit-command-not-found	1.3.6-1.fc44	x86_64	Group	updates
PackageKit-gstreamer-plugin	1.3.6-1.fc44	x86_64	Group	updates
PureRef	2.1.1-1	x86_64	External User	<unknown>
R-srpm-macros	1.3.7-2.fc44	noarch	External User	updates
SFML	2.6.2-10.fc44	x86_64	External User	<unknown>
Thunar	4.20.9-1.fc44	x86_64	User	updates
aajohan-comfortaa-fonts	3.105-0.9.20210729git2a87ac6.fc44	noarch	User	<unknown>
abrt-cli	2.17.9-1.fc44	x86_64	Group	updates
abrt-desktop	2.17.9-1.fc44	x86_64	Group	updates
abseil-cpp	20260107.1-1.fc44	i686	External User	<unknown>
accountsservice-libs	23.13.9-16.fc44	x86_64	External User	<unknown>
acl	2.4.0-1.fc44	x86_64	Group	updates
adw-gtk3-theme	6.4-3.fc44	noarch	User	fedora
alsa-lib-devel	1.2.16.1-1.fc44	x86_64	User	updates
alsa-sof-firmware	2025.12.2-1.fc44	noarch	Group	<unknown>
alsa-ucm	1.2.16.1-1.fc44	noarch	Group	updates
alsa-utils	1.2.16-1.fc44	x86_64	Group	updates
amd-gpu-firmware	20260810-1.fc44	noarch	Group	updates
amd-ucode-firmware	20260810-1.fc44	noarch	Group	updates
anaconda-install-env-deps	44.30-2.fc44	x86_64	User	<unknown>
anaconda-live	44.30-2.fc44	noarch	User	<unknown>
app2unit	1.4.0-1.fc44	noarch	User	copr:copr.fedorainfracloud.org:celestelove:app2unit
ark	26.08.0-1.fc44	x86_64	Group	updates
at	3.2.5-21.fc44	x86_64	Group	<unknown>
at-spi2-atk	2.60.6-1.fc44	i686	Group	updates
at-spi2-atk	2.60.6-1.fc44	x86_64	Group	updates
at-spi2-core	2.60.6-1.fc44	i686	Group	updates
at-spi2-core	2.60.6-1.fc44	x86_64	Group	updates
atheros-firmware	20260810-1.fc44	noarch	Group	updates
attr	2.6.0-1.fc44	x86_64	Group	updates
aubio	0.4.9-32.fc44	x86_64	User	fedora
aubio-devel	0.4.9-32.fc44	x86_64	User	fedora
audacity	3.7.8-1.fc44	x86_64	User	updates
audiocd-kio	26.08.0-1.fc44	x86_64	Group	updates
audiofile-devel	1:0.3.6-44.fc44	x86_64	User	fedora
audit	4.2.1-1.fc44	x86_64	Group	updates
aurorae	6.7.4-1.fc44	x86_64	Group	updates
authselect	1.7.1-1.fc44	x86_64	Group	<unknown>
b43-fwcutter	020-1.fc44	x86_64	Group	updates
b43-openfwwf	5.2-48.fc44	noarch	Group	<unknown>
bash	5.3.9-3.fc44	x86_64	Group	<unknown>
bash-color-prompt	0.7.1-3.fc44	noarch	Group	<unknown>
bash-completion	1:2.17-2.fc44	noarch	Group	<unknown>
bc	1.08.2-4.fc44	x86_64	Group	<unknown>
bind-utils	32:9.18.50-2.fc44	x86_64	Group	updates
bison	3.8.2-15.fc44	x86_64	User	fedora
bluedevil	6.7.4-1.fc44	x86_64	Group	updates
bluez-cups	5.87-6.fc44	x86_64	Group	updates
boost-charconv	1.90.0-7.fc44	x86_64	External User	<unknown>
boost-cobalt	1.90.0-7.fc44	x86_64	External User	<unknown>
boost-devel	1.90.0-7.fc44	x86_64	User	<unknown>
boost-process	1.90.0-7.fc44	x86_64	External User	<unknown>
boost-url	1.90.0-7.fc44	x86_64	External User	<unknown>
botan3	3.9.0-7.fc44	x86_64	External User	<unknown>
brcmfmac-firmware	20260810-1.fc44	noarch	Group	updates
breeze-icon-theme	6.29.0-1.fc44	noarch	Group	updates
brltty	6.8-8.fc44	x86_64	Group	<unknown>
btop	1.4.7-1.fc44	x86_64	User	updates
btrfs-progs	7.1-1.fc44	x86_64	Group	updates
bzip2	1.0.8-23.fc44	x86_64	Group	<unknown>
cairo-devel	1.18.4-6.fc44	x86_64	User	<unknown>
cairo-gobject-devel	1.18.4-6.fc44	x86_64	User	<unknown>
cairomm1.16	1.18.0-16.fc44	x86_64	External User	<unknown>
cargo	1.98.0-1.fc44	x86_64	User	updates
ccache	4.12.3-1.fc44	x86_64	User	fedora
cdparanoia-libs	10.2-50.fc44	i686	External User	<unknown>
chafa	1.18.2-1.fc44	x86_64	User	updates
chrony	4.9-1.fc44	x86_64	Group	updates
cifs-utils	7.7-1.fc44	x86_64	Group	updates
cirrus-audio-firmware	20260810-1.fc44	noarch	Group	updates
clang	22.1.8-4.fc44	x86_64	User	updates
cliphist	0.7.0-1.fc44	x86_64	User	fedora
cmake	4.3.0-1.fc44	x86_64	User	<unknown>
cmake-srpm-macros	4.3.0-1.fc44	noarch	External User	<unknown>
cmatrix	2.0-14.fc44	x86_64	User	fedora
cockpit-networkmanager	366-1.fc44	noarch	External User	updates
colord	1.4.8-4.fc44	x86_64	Group	<unknown>
colord-kde	26.08.0-1.fc44	x86_64	Group	updates
compsize	1.5^git20250123.d79eacf-15.fc44	x86_64	Group	<unknown>
coreutils	9.10-5.fc44	x86_64	Group	updates
cpio	2.15-9.fc44	x86_64	Group	<unknown>
createrepo_c	1.2.1-5.fc44	x86_64	User	fedora
crontabs	1.11^20190603git9e74f2d-10.fc44	noarch	Group	<unknown>
cryptsetup	2.8.7-1.fc44	x86_64	Group	updates
cups	1:2.4.19-3.fc44	x86_64	Group	updates
cups-browsed	1:2.1.1-7.fc44	x86_64	Group	<unknown>
cups-devel	1:2.4.19-3.fc44	x86_64	User	updates
cups-filters	1:2.0.1-14.fc44	x86_64	Group	<unknown>
cups-pk-helper	0.2.7-12.fc44	x86_64	Group	<unknown>
curl	8.18.0-9.fc44	x86_64	Group	updates
cyrus-sasl-plain	2.1.28-35.fc44	x86_64	Group	<unknown>
dbus	1:1.16.2-1.fc44	x86_64	Group	<unknown>
dbus-glib-devel	0.112-13.fc44	x86_64	User	fedora
default-editor	8.7.1-2.fc44	noarch	Group	<unknown>
default-fonts-cjk-mono	4.3-1.fc44	noarch	Group	<unknown>
default-fonts-cjk-sans	4.3-1.fc44	noarch	Group	<unknown>
default-fonts-cjk-serif	4.3-1.fc44	noarch	Group	<unknown>
default-fonts-core-emoji	4.3-1.fc44	noarch	Group	<unknown>
default-fonts-core-math	4.3-1.fc44	noarch	Group	<unknown>
